date,n1,n2,n3,n4,n5,s1,s2
2025-04-29,24,30,41,2,9,11,1
2025-05-02,21,49,5,3,19,1,10
2025-05-06,23,24,47,48,8,4,9
2025-05-09,15,18,25,47,29,9,5
2025-05-13,19,9,44,47,50,2,9
2025-05-16,25,9,37,46,6,6,12
2025-05-20,47,1,29,8,13,5,6
2025-05-23,49,43,29,46,10,12,7
2025-05-27,30,41,38,12,40,4,12
2025-05-30,36,7,14,4,33,1,5
2025-06-03,47,12,15,38,48,7,5
2025-06-06,30,29,21,20,35,2,12
2025-06-10,36,40,45,39,19,5,6
2025-06-13,43,40,45,2,28,3,7
2025-06-17,22,44,49,23,13,3,5
2025-06-20,37,24,47,5,8,9,3
2025-06-24,16,21,39,7,23,11,7
2025-06-27,27,45,19,36,49,7,10
2025-07-01,34,17,1,28,32,7,8
2025-07-04,45,19,48,29,42,5,7
2025-07-08,50,18,9,1,8,5,1
2025-07-11,8,24,45,23,49,2,10
2025-07-15,41,45,24,49,38,1,6
2025-07-18,25,19,42,45,13,9,2
2025-07-22,8,41,33,26,15,9,10
2025-07-25,32,36,23,6,7,11,12
2025-07-29,5,46,44,6,42,4,8
2025-08-01,29,4,25,16,30,10,2
2025-08-05,1,3,5,42,47,5,10
2025-08-08,2,34,19,12,44,10,6
2025-08-12,46,48,28,18,42,3,9
2025-08-15,36,40,35,30,13,6,2
2025-08-19,24,43,41,34,31,8,6
2025-08-22,39,30,9,12,6,10,4
2025-08-26,2,42,38,14,45,11,10
2025-08-29,6,13,37,10,9,1,7
2025-09-02,31,32,36,13,30,12,1
2025-09-05,30,27,41,31,43,5,8
2025-09-09,3,24,13,39,40,8,2
2025-09-12,10,37,31,5,23,3,11
2025-09-16,35,9,13,1,40,6,5
2025-09-19,26,32,42,8,10,9,12
2025-09-23,13,29,33,11,24,5,2
2025-09-26,25,17,4,44,28,11,5
2025-09-30,48,15,8,3,17,2,8
2025-10-03,25,41,6,12,18,2,6
2025-10-07,24,39,48,43,42,5,8
2025-10-10,7,21,20,17,6,10,1
2025-10-14,8,5,18,16,14,10,3
2025-10-17,39,44,35,47,13,3,5
2025-10-21,5,29,40,24,42,6,12
2025-10-24,25,8,45,7,31,12,7
2025-10-28,35,49,24,7,8,2,12
2025-10-31,43,38,5,45,14,7,11
2025-11-04,25,28,45,9,6,1,4
2025-11-07,40,21,43,11,39,8,2
2025-11-11,47,22,32,36,4,2,10
2025-11-14,9,45,26,48,27,9,8
2025-11-18,48,4,2,21,15,12,6
2025-11-21,35,17,48,29,19,9,5
2025-11-25,11,35,44,17,6,7,3
2025-11-28,5,33,42,29,39,3,9
2025-12-02,14,4,41,13,20,6,12
2025-12-05,34,25,15,46,9,8,12
2025-12-09,13,49,2,29,8,2,11
2025-12-12,30,7,25,41,37,11,5
2025-12-16,41,14,16,44,40,2,10
2025-12-19,39,43,44,21,17,1,11
2025-12-23,26,29,44,8,27,11,12
2025-12-26,22,32,48,12,36,3,4
2025-12-30,29,44,26,11,34,10,1
2026-01-02,46,42,27,44,8,10,1
2026-01-06,5,17,18,14,31,12,10
2026-01-09,10,34,26,7,1,2,4
2026-01-13,47,6,44,10,18,10,2
2026-01-16,5,24,17,50,29,10,5
2026-01-20,22,18,19,50,11,1,11
2026-01-23,4,42,5,13,21,3,10
2026-01-27,47,42,23,43,4,9,3
2026-01-30,14,18,31,35,46,7,11
2026-02-03,27,28,37,34,26,4,9
2026-02-06,20,10,24,13,23,6,11
2026-02-10,1,19,42,17,34,8,5
2026-02-13,37,40,13,31,9,6,9
2026-02-17,6,41,1,10,4,12,5
2026-02-20,24,33,28,35,13,5,9
2026-02-24,10,43,47,40,27,10,6
2026-02-27,27,24,39,42,14,10,6
2026-03-03,50,24,6,34,7,5,7
2026-03-06,16,19,15,28,37,9,6
2026-03-10,27,12,50,14,44,4,12
2026-03-13,26,17,48,41,13,10,4
2026-03-17,28,33,41,17,5,9,3
2026-03-20,16,12,5,37,46,8,10
2026-03-24,18,27,16,12,17,3,1
2026-03-27,44,4,43,10,48,4,2
2026-03-31,8,38,10,5,33,2,7
2026-04-03,27,46,8,49,29,10,2
2026-04-07,14,49,11,19,36,7,6
2026-04-10,10,13,41,38,14,6,9
2026-04-14,1,2,4,44,28,12,5
2026-04-17,22,23,47,28,41,6,8
2026-04-21,29,47,16,13,40,4,3
2026-04-24,40,30,45,26,25,5,1
2026-04-28,46,47,29,26,41,9,8
2026-05-01,42,47,46,3,9,11,1
2026-05-05,4,8,3,31,20,6,8
2026-05-08,19,17,37,34,2,11,8
2026-05-12,26,35,32,36,4,7,5
2026-05-15,10,38,43,41,3,2,9
2026-05-19,12,20,45,38,2,5,2
2026-05-22,6,31,37,22,26,5,8
2026-05-26,23,37,6,35,25,12,6
2026-05-29,5,14,35,31,18,12,2
2026-06-02,18,9,17,42,6,7,9
2026-06-05,5,6,16,17,49,2,12
